local_path,size_bytes,target_s3_key,s3_uri,new_public_url,old_cloudinary_url,old_images_url,cloudinary_public_id
migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,313286,A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768853216/A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853216/A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq.jpg,A_F_King_Quiet_Stream_IMG_2598_sm_cr_fr_zfhhhq
migration/cloudinary-downloads/A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,35762,A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,s3://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,https://img.bedfordfineartgallery.com/A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1768853169/A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1768853169/A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8.jpg,A_F_King_Quiet_Stream_IMG_2598_zoom_cr_pweuj8
migration/cloudinary-downloads/A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,48765,A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,s3://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,https://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1746034337/A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1746034337/A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa.jpg,A_F_Tait_Coming_Home_IMG_2434_full_gall_cr_jxaisa
migration/cloudinary-downloads/A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,1594678,A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,s3://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,https://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1746034471/A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1746034471/A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3.jpg,A_F_Tait_Coming_Home_IMG_2434_lrg_cr_fr_yhmtr3
migration/cloudinary-downloads/A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,391523,A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,s3://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,https://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1746034425/A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1746034425/A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw.jpg,A_F_Tait_Coming_Home_IMG_2434_sm_cr_fr_qjxenw
migration/cloudinary-downloads/A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,50284,A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,s3://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,https://img.bedfordfineartgallery.com/A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1746034397/A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1746034397/A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau.jpg,A_F_Tait_Coming_Home_IMG_2434_zoom_crop_cxbsau
migration/cloudinary-downloads/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,91280,AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,s3://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,https://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1677884583/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1677884583/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh.jpg,AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_kxbmkh
migration/cloudinary-downloads/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,136849,AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,s3://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,https://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1677867559/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1677867559/AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0.jpg,AB_Sheep_Autumn_Road_IMG_1612_full_gall_cr_u1muj0
migration/cloudinary-downloads/AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,2265521,AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,s3://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,https://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1677867641/AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1677867641/AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq.jpg,AB_Sheep_Autumn_Road_IMG_1612_lrg_cr_fr_wbjssq
migration/cloudinary-downloads/AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,1162680,AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,s3://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,https://img.bedfordfineartgallery.com/AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,https://res.cloudinary.com/dg6smdedp/image/upload/v1677867618/AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,https://images.bedfordfineartgallery.com/dg6smdedp/image/upload/v1677867618/AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk.jpg,AB_Sheep_Autumn_Road_IMG_1612_sm_cr_fr_zmclxk
